R,hr,Value1,Value2
2.0,5,-0.90868,0.651503
2.0,6,-1.12894,0.740665
2.0,7,-1.01611,0.749273
2.0,8,-1.0734,0.792215
2.0,9,-1.10272,0.812473
2.0,10,-1.12605,0.827539
2.0,11,-1.15099,0.845559
2.0,12,-1.17832,0.865962
2.0,13,-1.20737,0.888282
2.0,14,-1.23671,0.909236
2.0,15,-1.2678,0.932229
2.0,16,-1.30097,0.956389
2.0,17,-1.32719,0.991476
2.0,18,-1.3638,1.01707
2.0,19,-1.41333,1.03776
2.0,20,-1.4522,1.06629
2.0,21,-1.48867,1.09668
2.0,22,-1.60742,1.20639
2.0,23,-1.65658,1.23488
2.0,24,-1.71176,1.2684
2.0,25,-1.76611,1.30745
2.0,26,-1.82481,1.34687
2.0,27,-1.88185,1.38618
2.0,28,-1.94192,1.42613
2.0,29,-2.00937,1.47243
2.0,30,-2.0831,1.52344
2.0,31,-2.22646,1.63541
2.0,32,-2.31111,1.69312
2.0,33,-2.40988,1.75565
2.0,34,-2.51642,1.83069
2.0,35,-2.64116,1.91307
2.0,36,-2.83726,2.06479
2.0,37,-3.00628,2.17781
2.0,38,-3.20895,2.32034
2.0,39,-3.50478,2.54041
2.0,40,-3.81619,2.76391
2.0,41,-4.25167,3.0828
2.0,42,-4.76103,3.43938
2.0,43,-5.44945,3.93858
2.0,44,-6.34237,4.57143
2.0,45,-7.46716,5.32911
2.0,46,-9.05139,6.36483
2.0,47,-11.1041,7.62321
2.0,48,-13.8911,9.18986
2.0,49,-17.5758,11.0334
2.0,50,-22.3044,13.0596
2.1,5,-0.863258,0.636068
2.1,6,-1.06969,0.699797
2.1,7,-0.966115,0.734137
2.1,8,-1.0235,0.775495
2.1,9,-1.0509,0.79559
2.1,10,-1.0728,0.809995
2.1,11,-1.09708,0.827238
2.1,12,-1.12273,0.846718
2.1,13,-1.14967,0.867938
2.1,14,-1.1773,0.888002
2.1,15,-1.2064,0.910093
2.1,16,-1.23672,0.932424
2.1,17,-1.27376,0.960995
2.1,18,-1.30679,0.985328
2.1,19,-1.34219,1.01023
2.1,20,-1.37766,1.03694
2.1,21,-1.41517,1.0648
2.1,22,-1.52364,1.17152
2.1,23,-1.56907,1.19819
2.1,24,-1.62008,1.22945
2.1,25,-1.67006,1.2662
2.1,26,-1.72431,1.30332
2.1,27,-1.77636,1.33986
