A.Ilyin, Y.Pronina  Curved pipes subjected to mechanochemical corrosion under pressure: Analytical and numerical estimates of the lifetime ;;;
Data set for constructing the error maps presented in Figure 7;;;
Error_1 is for Figure 7(a), Error_2 is for Figure 7(b), ;;;
##################################;;;
R/ro;h/ro;Error_1;Error_2
2;0.0200;0.6515;-0.9087
2;0.0204;0.7407;-1.1289
2;0.0208;0.7493;-1.0161
2;0.0213;0.7922;-1.0734
2;0.0217;0.8125;-1.1027
2;0.0222;0.8275;-1.1261
2;0.0227;0.8456;-1.1510
2;0.0233;0.8660;-1.1783
2;0.0238;0.8883;-1.2074
2;0.0244;0.9092;-1.2367
2;0.0250;0.9322;-1.2678
2;0.0256;0.9564;-1.3010
2;0.0263;0.9915;-1.3272
2;0.0270;1.0171;-1.3638
2;0.0278;1.0378;-1.4133
2;0.0286;1.0663;-1.4522
2;0.0294;1.0967;-1.4887
2;0.0303;1.2064;-1.6074
2;0.0313;1.2349;-1.6566
2;0.0323;1.2684;-1.7118
2;0.0333;1.3075;-1.7661
2;0.0345;1.3469;-1.8248
2;0.0357;1.3862;-1.8819
2;0.0370;1.4261;-1.9419
2;0.0385;1.4724;-2.0094
2;0.0400;1.5234;-2.0831
2;0.0417;1.6354;-2.2265
2;0.0435;1.6931;-2.3111
2;0.0455;1.7557;-2.4099
2;0.0476;1.8307;-2.5164
2;0.0500;1.9131;-2.6412
2;0.0526;2.0648;-2.8373
2;0.0556;2.1778;-3.0063
2;0.0588;2.3203;-3.2090
2;0.0625;2.5404;-3.5048
2;0.0667;2.7639;-3.8162
2;0.0714;3.0828;-4.2517
2;0.0769;3.4394;-4.7610
2;0.0833;3.9386;-5.4495
2;0.0909;4.5714;-6.3424
2;0.1000;5.3291;-7.4672
2;0.1111;6.3648;-9.0514
2;0.1250;7.6232;-11.1041
2;0.1429;9.1899;-13.8911
2;0.1667;11.0334;-17.5758
2;0.2000;13.0596;-22.3044
2.1;0.0200;0.6361;-0.8633
2.1;0.0204;0.6998;-1.0697
2.1;0.0208;0.7341;-0.9661
2.1;0.0213;0.7755;-1.0235
2.1;0.0217;0.7956;-1.0509
2.1;0.0222;0.8100;-1.0728
2.1;0.0227;0.8272;-1.0971
2.1;0.0233;0.8467;-1.1227
2.1;0.0238;0.8679;-1.1497
2.1;0.0244;0.8880;-1.1773
2.1;0.0250;0.9101;-1.2064
2.1;0.0256;0.9324;-1.2367
2.1;0.0263;0.9610;-1.2738
2.1;0.0270;0.9853;-1.3068
2.1;0.0278;1.0102;-1.3422
2.1;0.0286;1.0369;-1.3777
2.1;0.0294;1.0648;-1.4152
2.1;0.0303;1.1715;-1.5236
2.1;0.0313;1.1982;-1.5691
2.1;0.0323;1.2295;-1.6201
2.1;0.0333;1.2662;-1.6701
2.1;0.0345;1.3033;-1.7243
2.1;0.0357;1.3399;-1.7764
2.1;0.0370;1.3778;-1.8318
2.1;0.0385;1.4220;-1.8943
2.1;0.0400;1.4714;-1.9635
2.1;0.0417;1.5817;-2.1018
2.1;0.0435;1.6386;-2.1828
