R/ro;h/ro;Error_Inner_Thin;Error_Outer_Thin;Error_Inner_Thick;Error_Outer_Thick
2;0.02;-0.90868;0.651503;-6.19109;-7.95425
2;0.020408163;-1.12894;0.740665;-6.09657;-8.19271
2;0.020833333;-1.01611;0.749273;-6.08818;-8.07494
2;0.021276596;-1.0734;0.792215;-6.04313;-8.1393
2;0.02173913;-1.10272;0.812473;-6.02236;-8.17387
2;0.022222222;-1.12605;0.827539;-6.00717;-8.20219
2;0.022727273;-1.15099;0.845559;-5.98886;-8.23237
2;0.023255814;-1.17832;0.865962;-5.96804;-8.26527
2;0.023809524;-1.20737;0.888282;-5.94522;-8.3002
2;0.024390244;-1.23671;0.909236;-5.9239;-8.33563
2;0.025;-1.2678;0.932229;-5.90045;-8.37313
2;0.025641026;-1.30097;0.956389;-5.8758;-8.41307
2;0.026315789;-1.32719;0.991476;-5.83952;-8.44582
2;0.027027027;-1.3638;1.01707;-5.81345;-8.48995
2;0.027777778;-1.41333;1.03776;-5.79269;-8.54818
2;0.028571429;-1.4522;1.06629;-5.76361;-8.5953
2;0.029411765;-1.48867;1.09668;-5.73262;-8.64019
2;0.03030303;-1.60742;1.20639;-5.61689;-8.77351
2;0.03125;-1.65658;1.23488;-5.58809;-8.83275
2;0.032258065;-1.71176;1.2684;-5.554;-8.89886
2;0.033333333;-1.76611;1.30745;-5.51408;-8.96456
2;0.034482759;-1.82481;1.34687;-5.47389;-9.03545
2;0.035714286;-1.88185;1.38618;-5.43391;-9.10515
2;0.037037037;-1.94192;1.42613;-5.39339;-9.17874
2;0.038461538;-2.00937;1.47243;-5.3462;-9.26096
2;0.04;-2.0831;1.52344;-5.29414;-9.35073
2;0.041666667;-2.22646;1.63541;-5.17705;-9.51602
2;0.043478261;-2.31111;1.69312;-5.11815;-9.61947
2;0.045454545;-2.40988;1.75565;-5.05428;-9.73924
2;0.047619048;-2.51642;1.83069;-4.97726;-9.8687
2;0.05;-2.64116;1.91307;-4.89262;-10.0193
2;0.052631579;-2.83726;2.06479;-4.73408;-10.2482
2;0.055555556;-3.00628;2.17781;-4.61721;-10.4502
2;0.058823529;-3.20895;2.32034;-4.46908;-10.6909
2;0.0625;-3.50478;2.54041;-4.23836;-11.0346
2;0.066666667;-3.81619;2.76391;-4.00432;-11.3987
2;0.071428571;-4.25167;3.0828;-3.66862;-11.9006
2;0.076923077;-4.76103;3.43938;-3.293;-12.4877
2;0.083333333;-5.44945;3.93858;-2.76518;-13.2744
2;0.090909091;-6.34237;4.57143;-2.09468;-14.2906
2;0.1;-7.46716;5.32911;-1.29082;-15.5691
2;0.111111111;-9.05139;6.36483;-0.189362;-17.36
2;0.125;-11.1041;7.62321;1.15105;-19.6819
2;0.142857143;-13.8911;9.18986;2.82319;-22.836
2;0.166666667;-17.5758;11.0334;4.79601;-27.0265
2;0.2;-22.3044;13.0596;6.97405;-32.4682
2.1;0.02;-0.863258;0.636068;-6.43854;-8.14637
2.1;0.020408163;-1.06969;0.699797;-6.37039;-8.36998
2.1;0.020833333;-0.966115;0.734137;-6.33373;-8.26128
2.1;0.021276596;-1.0235;0.775495;-6.28955;-8.32528
2.1;0.02173913;-1.0509;0.79559;-6.26815;-8.35722
2.1;0.022222222;-1.0728;0.809995;-6.25285;-8.3834
2.1;0.022727273;-1.09708;0.827238;-6.23451;-8.41224
2.1;0.023255814;-1.12273;0.846718;-6.21378;-8.44269
2.1;0.023809524;-1.14967;0.867938;-6.19118;-8.47467
2.1;0.024390244;-1.1773;0.888002;-6.16983;-8.50754
2.1;0.025;-1.2064;0.910093;-6.14631;-8.54215
2.1;0.025641026;-1.23672;0.932424;-6.12253;-8.57825
2.1;0.026315789;-1.27376;0.960995;-6.09208;-8.62175
2.1;0.027027027;-1.30679;0.985328;-6.06616;-8.66115
2.1;0.027777778;-1.34219;1.01023;-6.03963;-8.70333
2.1;0.028571429;-1.37766;1.03694;-6.01117;-8.74582
2.1;0.029411765;-1.41517;1.0648;-5.98149;-8.79076
2.1;0.03030303;-1.52364;1.17152;-5.86732;-8.91213
2.1;0.03125;-1.56907;1.19819;-5.8389;-8.9662
2.1;0.032258065;-1.62008;1.22945;-5.80556;-9.0266
2.1;0.033333333;-1.67006;1.2662;-5.76634;-9.08629
2.1;0.034482759;-1.72431;1.30332;-5.72671;-9.15099
2.1;0.035714286;-1.77636;1.33986;-5.6877;-9.21381
2.1;0.037037037;-1.83181;1.37779;-5.6472;-9.2808
2.1;0.038461538;-1.89429;1.42203;-5.59992;-9.35593
2.1;0.04;-1.96351;1.47141;-5.54712;-9.43897
2.1;0.041666667;-2.10178;1.58167;-5.42907;-9.59688
2.1;0.043478261;-2.18276;1.63855;-5.36817;-9.69417
2.1;0.045454545;-2.27866;1.7024;-5.29977;-9.80843
2.1;0.047619048;-2.38373;1.77813;-5.21859;-9.93369
2.1;0.05;-2.50812;1.86578;-5.12458;-10.081
2.1;0.052631579;-2.70616;2.0245;-4.95434;-10.3089
2.1;0.055555556;-2.8802;2.14671;-4.8231;-10.5128
2.1;0.058823529;-3.09725;2.30614;-4.65184;-10.7651
2.1;0.0625;-3.39809;2.53799;-4.40279;-11.11
2.1;0.066666667;-3.72409;2.78148;-4.14102;-11.485
2.1;0.071428571;-4.17968;3.12553;-3.77116;-12.0033
2.1;0.076923077;-4.71122;3.50922;-3.35836;-12.608
2.1;0.083333333;-5.42615;4.03939;-2.78796;-13.4163
2.1;0.090909091;-6.34629;4.70425;-2.07234;-14.4537
2.1;0.1;-7.49375;5.48936;-1.22651;-15.747
2.1;0.111111111;-9.08977;6.54638;-0.0874038;-17.5392
2.1;0.125;-11.1276;7.80786;1.27383;-19.8307
2.1;0.142857143;-13.8458;9.35383;2.94474;-22.8919
2.1;0.166666667;-17.3501;11.1342;4.87517;-26.862
2.1;0.2;-21.6866;13.031;6.94565;-31.8425
2.2;0.02;-0.823748;0.621348;-6.52378;-8.17822
2.2;0.020408163;-1.03608;0.70479;-6.43399;-8.40789
2.2;0.020833333;-0.924706;0.715508;-6.42213;-8.29033
2.2;0.021276596;-0.983114;0.757211;-6.37704;-8.35502
